,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,Brand
1670,Volkswagen Polo 2015-2019,525000,1143000,2016,Dealer,110000,First Owner,Petrol,Manual,16.2,Volkswagen
1671,Hyundai Grand i10,520000,742000,2017,Dealer,41000,First Owner,Petrol,Manual,18.9,Hyundai
1672,Honda Amaze VX,295000,1036000,2013,Dealer,51112,First Owner,Petrol,Automatic,15.5,Honda
1673,Mahindra Bolero 2011-2019,500000,1055000,2013,Individual,280000,First Owner,Diesel,Manual,15.96,Mahindra
1674,Hyundai Verna VTVT,1025000,1614999,2019,Individual,20000,First Owner,Petrol,Manual,17.0,Hyundai
1675,Maruti Ignis Zeta,640000,849000,2019,Dealer,11000,First Owner,Petrol,Automatic,20.89,Maruti
1676,Ford Ecosport 2015-2021,950000,1372000,2018,Dealer,29500,First Owner,Diesel,Manual,23.0,Ford
1677,Tata Tigor 1.2,575000,911000,2018,Dealer,9500,First Owner,Petrol,Automatic,20.3,Tata
1678,Mahindra Bolero DI,300000,1053000,2005,Individual,211121,First Owner,Diesel,Manual,13.6,Mahindra
1679,Mahindra Thar CRDe,850000,1657999,2018,Dealer,30000,First Owner,Diesel,Manual,16.55,Mahindra
1680,Mahindra Thar 4X4,835000,1657999,2018,Dealer,32707,First Owner,Diesel,Manual,16.55,Mahindra
1681,Maruti Wagon R,470000,717000,2017,Dealer,25649,First Owner,Petrol,Automatic,21.5,Maruti
1682,Ford Ecosport 1.0,535000,1337000,2014,Dealer,63000,First Owner,Petrol,Manual,18.88,Ford
1683,Hyundai i20 Asta,565000,1324000,2015,Dealer,23000,First Owner,Petrol,Manual,18.6,Hyundai
1684,Honda Jazz S,325000,1148000,2011,Dealer,58000,First Owner,Petrol,Manual,16.0,Honda
1685,Hyundai i20 Magna,380000,1324000,2014,Dealer,44000,First Owner,Petrol,Manual,18.5,Hyundai
1686,Maruti Swift Dzire,785000,1032000,2018,Dealer,15210,First Owner,Petrol,Automatic,21.21,Maruti
1687,Honda Amaze SX,580000,1176000,2016,Dealer,75225,First Owner,Diesel,Manual,25.8,Honda
1688,Ford Ecosport 2015-2021,1050000,1371000,2019,Dealer,10787,First Owner,Diesel,Manual,21.7,Ford
1689,Maruti Dzire ZXI,440000,1032000,2014,Dealer,66250,First Owner,Petrol,Manual,23.26,Maruti
1690,Hyundai Verna 1.6,865000,1645000,2017,Dealer,28900,First Owner,Petrol,Manual,17.01,Hyundai
1691,Maruti Ertiga BSIV,780000,1208000,2017,Individual,40000,First Owner,Petrol,Automatic,17.03,Maruti
1692,Hyundai i20 1.4,450000,1283000,2012,Individual,134000,First Owner,Diesel,Manual,23.0,Hyundai
1693,Renault KWID RXL,330000,665000,2018,Individual,25000,First Owner,Petrol,Manual,25.17,Renault
1694,Datsun GO T,310000,725000,2016,Individual,29500,First Owner,Petrol,Manual,20.63,Datsun
1695,Hyundai Grand i10,355000,722000,2013,Individual,43000,First Owner,Petrol,Manual,18.9,Hyundai
1696,Hyundai i20 Asta,630000,1324000,2016,Dealer,18000,First Owner,Petrol,Manual,18.6,Hyundai
1697,Maruti Swift Dzire,425000,1032000,2014,Individual,70000,First Owner,Petrol,Manual,19.1,Maruti
1698,Renault KWID RXT,325000,599000,2019,Individual,40000,First Owner,Petrol,Manual,25.17,Renault
1699,Renault KWID RXL,220000,588000,2016,Individual,40000,First Owner,Petrol,Manual,25.17,Renault
1700,Maruti Wagon R,445000,719000,2016,Dealer,42000,First Owner,Petrol,Automatic,20.51,Maruti
1701,Hyundai Grand i10,585000,741000,2016,Trustmark Dealer,5301,First Owner,Petrol,Automatic,18.9,Hyundai
1702,Tata Tigor 1.2,400000,863000,2018,Individual,90000,First Owner,Petrol,Manual,20.3,Tata
1703,Mahindra XUV300 W6,890000,1306000,2019,Individual,4000,First Owner,Petrol,Manual,17.0,Mahindra
1704,Tata Tiago 1.2,450000,775000,2018,Individual,30000,First Owner,Petrol,Manual,23.84,Tata
1705,Maruti Celerio ZXI,430000,660000,2015,Dealer,36000,First Owner,Petrol,Automatic,23.1,Maruti
1706,Hyundai Elantra 1.6,1370000,2531000,2017,Dealer,53958,First Owner,Diesel,Automatic,18.23,Hyundai
1707,Ford Figo Diesel,290000,966000,2011,Dealer,113000,First Owner,Diesel,Manual,20.0,Ford
